substance,mcl,units 1,units 2,typical source
Chloride,500,mg/l,ppm,Runoff/leaching from natural deposits; seawater influence 
Manganese,"50,000",mg/l,ppm,Leaching from natural deposits 
Sulfate,500,mg/l,ppm,Runoff/leaching from natural deposits; industrial wastes 
Total Dissolved Solids ,500,mg/l,ppm,Runoff/leaching from natural deposits 
